model,experiment,years,GMTemp,DMI mean,DMI stddev,Nino34 stddev,TIO mean,IOBM,DMI AnnCycAmp,EEIO mean,EEIO stddev,SASmonsoon area mean,SASmonsoon rain mean,SASmonsoon area stddev,SASmonsoon rain stddev,SAS rain ann,SAS rain jja,SAS rain djf,SAS rain jja stddev,SAS rain djf stddev,r(nino34.iod),r(iod.iobm),r(iod.eeio)
ACCESS-ESM1-5,abrupt4xCO2,149,19.1327,0.17357,0.447167,1.12363,32.1429,0.190337,2.4441,32.9217,0.386239,2.23049e+06,10.0406,202437,0.931421,3.61303,2.27739,3.12261,0.435178,0.572909,0.374963,0.122828,-0.35814
ACCESS-ESM1-5,lig127k-cal-adj,199,15.0638,-0.174537,0.424325,0.667553,28.0919,0.151156,3.17865,28.739,0.394313,2.9383e+06,7.78411,185754,1.03024,4.11991,1.79631,3.85332,0.28305,0.671086,0.180597,-0.243072,-0.739346
ACCESS-ESM1-5,piControl,899,14.4918,-0.554965,0.534671,0.767785,28.1246,0.159882,2.00866,29.0435,0.275651,2.3035e+06,10.2206,137152,0.660115,2.77789,1.76727,2.17242,0.306047,0.418105,0.182833,0.153597,-0.159665
AWI-ESM-1-1-LR,lgm-cal-adj,99,9.29536,-0.777239,0.468718,0.812731,24.3906,0.262722,2.08376,25.296,0.4161,3.27184e+06,7.08386,302751,0.353794,2.25004,1.07828,2.2108,0.268664,0.358809,0.151172,0.28285,0.182774
AWI-ESM-1-1-LR,lig127k-cal-adj,99,12.9112,-1.03703,0.630933,0.519056,26.0872,0.256002,2.06238,26.8472,0.474142,3.1889e+06,8.08954,252040,0.443901,3.59441,1.59297,4.16357,0.306906,0.316668,0.0563205,0.0703939,-0.111152
AWI-ESM-1-1-LR,midHolocene-cal-adj,99,12.6325,-1.19331,0.472018,0.627697,25.8077,0.228479,2.35301,26.4746,0.37277,2.91583e+06,7.62741,230113,0.462125,2.93323,0.932212,3.74134,0.233192,0.354589,0.323584,0.190119,0.230543
AWI-ESM-1-1-LR,piControl,99,13.0093,-1.32918,0.465755,0.666452,26.1497,0.243864,2.59649,26.7824,0.387588,3.14729e+06,7.97422,279652,0.381385,2.94216,1.05048,3.2752,0.286341,0.471988,0.227909,0.258472,0.1569
BCC-CSM1-1,abrupt4xCO2,149,18.5185,0.201382,0.343847,0.629246,30.8779,0.175375,2.11288,31.1984,0.352318,2.78919e+06,12.0408,170726,1.27238,3.44828,0.969068,3.10669,0.409351,0.720094,0.230868,-0.0578881,-0.591153
BCC-CSM1-1,midHolocene-cal-adj,99,13.6284,0.0613078,0.344098,0.663096,26.9447,0.168144,2.46683,27.359,0.340088,2.83253e+06,9.28421,230707,0.834797,2.77391,0.717412,2.6316,0.188253,0.443884,0.226125,-0.132852,-0.625129
BCC-CSM1-1,piControl,499,13.7105,-0.0341991,0.419824,0.695788,27.348,0.169339,2.40606,27.9149,0.377077,2.71749e+06,10.6648,200218,1.00438,2.57681,0.880975,2.29974,0.260861,0.478925,0.261998,-0.157789,-0.701657
CCSM4,abrupt4xCO2,149,18.0761,0.117995,0.608249,0.94619,31.1173,0.222118,1.53052,31.8583,0.463565,2.61777e+06,9.74074,306662,0.74089,4.17644,1.62533,4.73614,0.407974,0.636126,0.538993,-0.072924,-0.583394
CCSM4,lgm-cal-adj,100,8.41792,0.673468,0.583616,0.873097,25.4743,0.217999,1.95844,26.777,0.376703,2.58054e+06,7.32708,243113,0.31502,2.96133,1.61864,3.04229,0.344236,0.411293,0.362245,0.119731,-0.589374
CCSM4,midHolocene-cal-adj,300,13.131,0.248633,0.466534,1.00798,27.4511,0.243462,2.66298,28.1666,0.438536,2.53097e+06,8.3816,264294,0.489428,3.67399,1.25455,4.19917,0.264954,0.417457,0.490783,-0.182024,-0.711654
CCSM4,piControl,1050,13.334,0.0257551,0.607003,1.05023,27.7462,0.241117,1.83695,28.6391,0.411501,2.40825e+06,8.75592,245499,0.537577,3.69462,1.59513,3.92245,0.378642,0.455355,0.514451,0.040991,-0.548138
CESM2,abrupt4xCO2,148,21.074,0.367934,0.289847,0.67171,34.2725,0.196128,2.06702,35.2319,0.287862,2.72509e+06,9.31053,317391,0.79014,3.63286,1.70453,4.16884,0.408396,0.915534,-0.0333271,-0.130977,-0.202696
CESM2,lig127k-cal-adj,699,14.1054,-0.0986579,0.558744,0.913569,28.0942,0.21786,2.06687,29.2865,0.393005,2.99742e+06,9.8381,265666,0.694013,3.67646,1.25439,3.8857,0.230695,0.805942,0.403607,-0.0506244,-0.275427
CESM2,midHolocene-cal-adj,699,13.9035,0.0520961,0.600429,1.04081,27.9817,0.228877,1.59604,29.2176,0.378952,2.66065e+06,9.41174,331910,0.697837,3.15759,1.09237,3.48496,0.212523,0.707402,0.454015,0.144076,-0.222828
CESM2,piControl,499,14.052,-0.00957619,0.663273,1.14069,28.3466,0.23993,1.15736,29.6222,0.365812,2.68716e+06,10.0989,321207,0.641189,3.13267,1.34886,3.06565,0.278664,0.721443,0.387233,0.202618,-0.120239
CNRM-CM5,abrupt4xCO2,149,18.347,-0.0467505,0.674241,0.907346,30.6488,0.298098,1.79496,31.2777,0.471259,2.45275e+06,7.93664,253757,0.484567,3.49824,2.07366,3.5797,0.306423,0.453128,0.686643,-0.0544707,-0.661535
CNRM-CM5,lgm-cal-adj,199,10.5656,0.510918,0.578671,0.831491,25.6812,0.235971,2.54938,26.5334,0.373725,2.55189e+06,6.53212,203735,0.452954,2.81693,1.59186,2.72626,0.262268,0.346371,0.434227,0.0754384,-0.543841
CNRM-CM5,midHolocene-cal-adj,199,13.4434,0.0417689,0.543023,0.738694,26.9112,0.297553,2.34066,27.492,0.435054,2.28541e+06,7.13069,257487,0.532126,3.08383,1.51461,3.40518,0.252202,0.450432,0.415747,-0.0326656,-0.473162
CNRM-CM5,piControl,849,13.2004,-0.137365,0.622153,0.810513,26.9995,0.235197,2.16169,27.6995,0.399642,2.41674e+06,7.39986,256248,0.514355,2.94003,1.68682,2.98106,0.274421,0.365163,0.434413,0.0536395,-0.460174
CNRM-CM6-1,abrupt4xCO2,149,19.5346,0.129623,0.442855,0.980814,32.2772,0.270315,2.60036,32.7285,0.466042,2.32872e+06,9.7547,287810,0.858179,3.65499,1.49869,3.76899,0.278464,0.457131,0.174813,-0.176846,-0.5523
