MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2 
ACCESS-ESM1-5, 0.17,-999.00,-999.00, 0.16,-999.00,-999.00,-999.00, 0.16, 0.16,-999.00
AWI-ESM-1-1-LR, 0.24, 0.23, 0.26, 0.26,-999.00, 0.23, 0.26, 0.26,-999.00,-999.00
BCC-CSM1-1, 0.17, 0.17,-999.00,-999.00,-999.00, 0.17,-999.00,-999.00, 0.14, 0.18
CCSM4, 0.24, 0.24, 0.22,-999.00,-999.00, 0.24, 0.22,-999.00, 0.22, 0.22
CESM2, 0.24, 0.23,-999.00, 0.22,-999.00, 0.23,-999.00, 0.22, 0.21, 0.19
CNRM-CM5, 0.24, 0.30, 0.24,-999.00,-999.00, 0.30, 0.24,-999.00, 0.28, 0.30
CNRM-CM6-1, 0.23,-999.00,-999.00, 0.21,-999.00,-999.00,-999.00, 0.21, 0.27, 0.27
COSMOS-ASO, 0.44,-999.00, 0.61,-999.00,-999.00,-999.00, 0.61,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.21, 0.23,-999.00,-999.00,-999.00, 0.23,-999.00,-999.00, 0.26, 0.23
CSIRO-Mk3L-1-2, 0.21, 0.20,-999.00,-999.00,-999.00, 0.20,-999.00,-999.00, 0.19,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.25, 0.26,-999.00,-999.00,-999.00, 0.26,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.27, 0.27,-999.00, 0.22,-999.00, 0.26,-999.00, 0.22, 0.28, 0.25
FGOALS-g2, 0.22, 0.19, 0.16,-999.00,-999.00, 0.19, 0.16,-999.00, 0.19, 0.14
FGOALS-g3, 0.21, 0.20,-999.00, 0.21,-999.00, 0.20,-999.00, 0.21,-999.00,-999.00
FGOALS-s2, 0.29, 0.34,-999.00,-999.00,-999.00, 0.34,-999.00,-999.00, 0.29, 0.32
GISS-E2-1-G, 0.30, 0.29,-999.00, 0.31,-999.00, 0.29,-999.00, 0.31, 0.30, 0.25
GISS-E2-R, 0.17, 0.16, 0.14,-999.00,-999.00, 0.16, 0.14,-999.00, 0.17, 0.15
HadGEM2-CC, 0.20, 0.18,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.19, 0.16,-999.00,-999.00,-999.00, 0.16,-999.00,-999.00, 0.13, 0.15
HadGEM3-GC31-LL, 0.22, 0.21,-999.00,-999.00,-999.00, 0.21,-999.00, 0.19,-999.00,-999.00
INM-CM4-8, 0.12, 0.12, 0.15, 0.12,-999.00, 0.12, 0.15, 0.12, 0.11, 0.10
IPSL-CM5A-LR, 0.20, 0.19, 0.27,-999.00,-999.00, 0.19, 0.27,-999.00, 0.18, 0.17
IPSL-CM6A-LR, 0.21, 0.21,-999.00, 0.22,-999.00, 0.20,-999.00, 0.22, 0.25, 0.23
KCM1-2-2, 0.33, 0.31,-999.00,-999.00,-999.00, 0.31,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.38, 0.29, 0.33, 0.22,-999.00, 0.29, 0.34, 0.22, 0.47, 0.47
MIROC-ESM, 0.20, 0.16, 0.20,-999.00,-999.00, 0.16, 0.20,-999.00, 0.14, 0.12
MPI-ESM1-2-LR, 0.27, 0.24, 0.32, 0.24,-999.00, 0.24,-999.00, 0.24, 0.24, 0.29
MPI-ESM-P, 0.27, 0.24, 0.28,-999.00,-999.00, 0.24, 0.28,-999.00, 0.25, 0.34
MRI-CGCM3, 0.19, 0.18, 0.19,-999.00,-999.00, 0.18, 0.19,-999.00, 0.21, 0.21
MRI-ESM2-0, 0.22, 0.20,-999.00,-999.00,-999.00, 0.20,-999.00,-999.00, 0.23, 0.23
NESM3, 0.24, 0.24,-999.00, 0.24,-999.00, 0.23,-999.00, 0.24, 0.25, 0.24
NorESM1-F, 0.19, 0.17,-999.00, 0.18,-999.00, 0.17,-999.00, 0.18,-999.00,-999.00
NorESM2-LM, 0.28, 0.33,-999.00, 0.29,-999.00, 0.33,-999.00, 0.29,-999.00,-999.00
UofT-CCSM-4, 0.21, 0.20, 0.21,-999.00,-999.00, 0.20, 0.21,-999.00,-999.00,-999.00
